pwsid,total_violations_12m,total_violations_36m,total_violations_60m,health_based_violations_36m,monitoring_reporting_violations_36m,repeat_violation_count_60m,max_violation_severity,days_since_last_violation,returned_to_compliance_flag,open_violation_flag,violation_trend_direction,compliance_risk_component
OH0100012,0,0,0,0,0,0,0.0,2912.0,False,False,stable_or_none,0.0
OH0100112,1,7,9,1,3,4,100.0,214.0,True,True,increasing,100.0
OH0100203,1,1,3,0,0,3,25.0,227.0,False,True,decreasing,43.25
OH0100303,1,1,1,0,0,0,25.0,193.0,False,True,increasing,31.25
OH0100412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0100503,1,3,3,1,2,0,85.0,354.0,True,True,increasing,74.25
OH0100603,0,1,1,0,0,0,25.0,605.0,True,False,increasing,11.25
OH0130012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0130112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0130219,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0130312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0130412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0130512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0130612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0130712,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0130812,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0130912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0131012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0131118,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0131217,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0131312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0131411,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0131412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0131512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0131612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0131711,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0131812,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0131912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0132012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0132112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0132212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0132312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0132411,0,0,0,0,0,0,0.0,11678.0,False,False,stable_or_none,0.0
OH0132512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0132612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0132712,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0132812,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0132912,0,0,0,0,0,0,0.0,8482.0,False,False,stable_or_none,0.0
OH0133012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0133119,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0133212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0133312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0133412,0,0,0,0,0,0,0.0,5011.0,False,False,stable_or_none,0.0
OH0133512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0133612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0133712,0,0,0,0,0,0,0.0,3824.0,False,False,stable_or_none,0.0
OH0133811,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0133912,0,0,0,0,0,0,0.0,10490.0,False,False,stable_or_none,0.0
OH0134012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0134112,0,0,0,0,0,0,0.0,7476.0,False,False,stable_or_none,0.0
OH0134212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0134312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0134411,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0134412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0134512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0134612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0134708,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0200012,0,0,0,0,0,0,0.0,7295.0,False,False,stable_or_none,0.0
OH0200112,0,0,1,0,0,0,25.0,1816.0,True,False,decreasing,6.25
OH0200212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0200312,0,0,0,0,0,0,0.0,12804.0,False,False,stable_or_none,0.0
OH0200412,1,1,1,0,1,0,35.0,354.0,False,True,increasing,36.75
OH0200503,0,2,2,0,1,0,35.0,671.0,True,True,increasing,41.75
OH0200512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0200612,0,0,0,0,0,0,0.0,14355.0,False,False,stable_or_none,0.0
OH0200712,0,1,1,0,0,0,25.0,550.0,False,True,increasing,31.25
OH0200811,0,1,2,1,0,2,90.0,811.0,True,False,stable_or_none,47.5
OH0200912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0201012,0,0,0,0,0,0,0.0,12896.0,False,False,stable_or_none,0.0
OH0201112,0,1,1,0,1,0,55.0,994.0,True,False,increasing,21.75
OH0201212,0,0,0,0,0,0,0.0,12651.0,False,False,stable_or_none,0.0
OH0201312,0,0,0,0,0,0,0.0,5650.0,False,False,stable_or_none,0.0
OH0201412,0,0,0,0,0,0,0.0,14659.0,False,False,stable_or_none,0.0
OH0201512,0,0,0,0,0,0,0.0,14508.0,False,False,stable_or_none,0.0
OH0201603,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0201612,0,0,0,0,0,0,0.0,14417.0,False,False,stable_or_none,0.0
OH0201712,0,0,0,0,0,0,0.0,12651.0,False,False,stable_or_none,0.0
OH0201812,0,0,0,0,0,0,0.0,12955.0,False,False,stable_or_none,0.0
OH0230012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0230112,0,0,0,0,0,0,0.0,8207.0,False,False,stable_or_none,0.0
OH0230212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH0230312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
