pwsid,score_asof,static_only,compliance_asof,enforcement_asof,prior36_violations,prior36_health,outcome,population_served
OH0400512,67.54059622641509,32.1405962264151,100.0,36,8,1,0,85
OH4837612,64.46000000000001,38.06,63.5,49,3,1,0,75
OH4833412,62.285000000000004,38.06,50.75,60,4,0,0,45
OH5143915,73.50456037735849,29.40456037735849,100.0,94,8,0,0,25
OH7257612,74.39558490566037,29.395584905660378,100.0,100,13,1,0,30
OH7258012,74.39558490566037,29.395584905660378,100.0,100,12,0,0,25
OH0401111,74.1405962264151,29.140596226415095,100.0,100,6,0,1,667
OH1200112,68.27857735849057,29.053577358490564,91.75,78,4,0,1,475
OH1204312,74.05357735849057,29.053577358490564,100.0,100,10,7,0,393
OH5734812,73.89578867924529,28.895788679245285,100.0,100,11,0,0,75
OH5740212,64.52078867924529,28.895788679245285,87.75,62,5,0,0,100
OH5748012,66.02078867924529,28.895788679245285,84.75,78,7,0,0,100
OH5702212,57.670788679245284,29.395788679245285,64.75,59,3,0,1,141
OH1240112,36.278577358490566,28.553577358490564,16.75,18,1,0,0,30
OH1245412,28.553577358490564,28.553577358490564,0.0,0,0,0,0,80
OH1248812,73.55357735849057,28.553577358490564,100.0,100,9,0,0,237
OH1251512,43.32857735849056,28.553577358490564,37.75,23,2,0,0,60
OH1253212,73.55357735849057,28.553577358490564,100.0,100,34,2,1,185
OH1631612,28.554905660377358,28.554905660377358,0.0,0,0,0,0,60
OH1638112,53.30490566037736,28.554905660377358,64.5,36,2,2,1,200
OH1638914,37.479905660377355,28.554905660377358,29.75,0,2,0,0,50
OH2548912,73.17799245283018,28.17799245283019,100.0,100,44,0,1,130
OH2570725,36.20299245283019,28.17799245283019,26.75,0,2,0,1,370
OH8702712,50.849000000000004,28.124000000000002,57.75,36,2,0,1,45
OH5002812,50.34213962264151,28.06713962264151,53.75,41,4,0,1,25
OH5747812,66.77078867924529,28.895788679245285,76.75,99,6,0,1,200
OH7200012,66.27058490566037,29.895584905660378,77.75,87,4,0,1,100
OH8749212,72.624,27.624000000000002,100.0,100,64,1,1,30
OH5043422,60.0421396226415,27.56713962264151,66.75,83,5,0,0,225
OH5045512,44.29213962264151,27.56713962264151,37.75,36,2,0,0,30
OH5054512,37.54213962264151,27.56713962264151,21.75,23,1,0,0,36
OH7448612,72.11661132075471,27.116611320754718,100.0,100,13,2,1,136
OH7449112,72.11661132075471,27.116611320754718,100.0,100,8,0,0,152
OH3400312,60.74421509433962,27.069215094339626,78.75,67,5,0,0,82
OH5730912,35.420788679245284,28.895788679245285,21.75,0,1,0,0,145
OH4102903,40.01607641509434,26.44107641509434,31.25,28,1,0,1,481
OH5002112,37.39213962264151,27.56713962264151,32.75,0,2,0,1,31
OH7833012,40.66756981132076,26.342569811320757,29.75,36,2,0,0,50
OH7837112,71.34256981132076,26.342569811320757,100.0,100,15,1,0,124
OH7852912,51.16756981132076,26.342569811320757,59.75,46,4,0,0,25
OH7855612,53.267569811320755,26.342569811320757,67.75,44,4,0,0,30
OH0100112,54.10049245283019,26.125492452830187,62.25,62,4,0,1,2043
OH7000612,71.23241132075472,26.232411320754718,100.0,100,8,6,1,318
OH8100911,55.07299999999999,25.898,47.25,100,2,0,1,405
OH0430712,31.6405962264151,31.6405962264151,0.0,0,0,0,1,65
OH7035812,49.50741132075471,25.732411320754718,54.75,49,3,0,1,50
OH7039612,63.082411320754716,25.732411320754718,100.0,49,15,0,0,38
OH6331112,27.274,27.274,0.0,0,0,0,0,50
OH2502112,67.67799245283018,25.67799245283019,100.0,80,9,5,0,505
OH2570715,33.05299245283019,28.17799245283019,13.75,5,0,0,1,150
OH3300112,43.31567358490567,25.390673584905663,43.25,33,1,0,1,943
OH1541412,68.51423207547171,25.3142320754717,100.0,88,7,0,0,50
OH1556812,59.7392320754717,25.3142320754717,76.25,77,4,1,1,203
OH1557412,70.3142320754717,25.3142320754717,100.0,100,7,1,1,44
