pwsid,enforcement_actions_36m,formal_actions_60m,informal_actions_60m,penalty_count_60m,recent_enforcement_flag,days_since_last_enforcement,enforcement_risk_component
OH0100012,0,0,0,0,False,2608,0
OH0100112,11,0,10,0,True,207,100
OH0100203,1,0,3,0,True,227,33
OH0100303,1,0,1,0,True,193,23
OH0100412,0,0,0,0,False,,0
OH0100503,10,0,9,0,True,243,100
OH0100603,2,0,1,0,True,592,31
OH0130012,0,0,0,0,False,,0
OH0130112,0,0,0,0,False,,0
OH0130219,0,0,0,0,False,,0
OH0130312,0,0,0,0,False,15041,0
OH0130412,0,0,0,0,False,,0
OH0130512,0,0,0,0,False,,0
OH0130612,0,0,0,0,False,,0
OH0130712,0,0,0,0,False,,0
OH0130812,0,0,0,0,False,15675,0
OH0130912,0,0,0,0,False,,0
OH0131012,0,0,0,0,False,,0
OH0131118,0,0,0,0,False,,0
OH0131217,0,0,0,0,False,13970,0
OH0131312,0,0,0,0,False,,0
OH0131411,0,0,0,0,False,15243,0
OH0131412,0,0,0,0,False,,0
OH0131512,0,0,0,0,False,,0
OH0131612,0,0,0,0,False,,0
OH0131711,0,0,0,0,False,,0
OH0131812,0,0,0,0,False,,0
OH0131912,0,0,0,0,False,,0
OH0132012,0,0,0,0,False,,0
OH0132112,0,0,0,0,False,,0
OH0132212,0,0,0,0,False,,0
OH0132312,0,0,0,0,False,,0
OH0132411,0,0,0,0,False,11619,0
OH0132512,0,0,0,0,False,,0
OH0132612,0,0,0,0,False,,0
OH0132712,0,0,0,0,False,,0
OH0132812,0,0,0,0,False,,0
OH0132912,0,0,0,0,False,8342,0
OH0133012,0,0,0,0,False,,0
OH0133119,0,0,0,0,False,,0
OH0133212,0,0,0,0,False,,0
OH0133312,0,0,0,0,False,,0
OH0133412,0,0,0,0,False,4799,0
OH0133512,0,0,0,0,False,,0
OH0133612,0,0,0,0,False,,0
OH0133712,0,0,0,0,False,3635,0
OH0133811,0,0,0,0,False,,0
OH0133912,0,0,0,0,False,9924,0
