pwsid,pws_name,state,county,county_fips,city,system_type,owner_type,primary_source_water_type,population_served,service_connections,activity_status,system_size_class,is_small_system,is_very_small_system,first_seen_date,last_seen_date,data_quality_flags
OH0100012,ADAMS COUNTY REGIONAL WD PWS,OH,Adams,39001,West Union,Community water system,Local government,Ground water,21810,7311,Active,large,False,False,1981-01-30,2026-02-25,none
OH0100112,MANCHESTER VILLAGE,OH,Adams,39001,Manchester,Community water system,Local government,Ground water,2043,850,Active,small,True,False,1981-01-30,2026-02-25,none
OH0100203,PEEBLES PUBLIC WATER SYSTEM,OH,Adams,39001,Peebles,Community water system,Local government,Ground water purchased,1978,836,Active,small,True,False,1981-01-30,2026-02-25,none
OH0100303,SEAMAN VILLAGE PWS,OH,Adams,39001,Seaman,Community water system,Local government,Ground water purchased,944,511,Active,small,True,False,1981-01-30,2026-02-25,none
OH0100412,MGR-TWIN ISLAND MOBILE HOME PK,OH,Adams,39001,Manchester,Transient non-community water system,Private,Ground water,50,40,Inactive,very_small,True,True,1981-01-30,1997-04-25,no_service_area_boundary | inactive_or_non_active_status
OH0100503,WEST UNION PUBLIC WATER SYSTEM,OH,Adams,39001,West Union,Community water system,Local government,Ground water purchased,3670,1585,Active,medium,False,False,1981-01-30,2026-02-25,none
OH0100603,WINCHESTER PUBLIC WATER SYSTEM,OH,Adams,39001,Seaman,Community water system,Local government,Ground water purchased,1052,434,Active,small,True,False,1981-01-30,2026-02-25,none
OH0130012,"POST MASTER, BLUE CREEK PO",OH,Adams,39001,Jefferson Twp,Transient non-community water system,Local government,Ground water,25,1,Inactive,very_small,True,True,1981-01-30,1997-04-25,no_service_area_boundary | inactive_or_non_active_status
OH0130112,BROWN'S GROCERY,OH,Adams,39001,Peebles,Transient non-community water system,Private,Ground water,25,1,Inactive,very_small,True,True,1981-01-30,1995-07-22,no_service_area_boundary | inactive_or_non_active_status
OH0130219,"MGR, CEDAR MILLS RANCH",OH,Adams,39001,Blue Creek,Transient non-community water system,Private,Ground water,40,1,Inactive,very_small,True,True,1981-01-30,1997-04-25,no_service_area_boundary | inactive_or_non_active_status
OH0130312,CEDAR MILLS ELEMENTARY SCHOOL,OH,Adams,39001,Blue Creek,Non-transient non-community water system,Local government,Ground water,55,1,Inactive,very_small,True,True,1981-01-30,1995-07-22,no_service_area_boundary | inactive_or_non_active_status
OH0130412,"MGR, CONTRY KITCHEN RESTAURANT",OH,Adams,39001,Manchester,Transient non-community water system,Private,Ground water,40,1,Inactive,very_small,True,True,1981-01-30,1997-04-25,no_service_area_boundary | inactive_or_non_active_status
OH0130512,"MGR, COUNTRY PEDDLER STORE",OH,Adams,39001,Peebles,Transient non-community water system,Private,Ground water,25,1,Inactive,very_small,True,True,1981-01-30,1997-04-25,no_service_area_boundary | inactive_or_non_active_status
